symbol,exchange,date,underlying_price,option_symbol,expiration,strike,call_put,style,ask,bid,mean_price,volume,open_interest,iv,iv_raw,delta,gamma,vega,theta,rho,oi_2,option_id,trade_date_fetch
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00593000,2025-03-21,593.0,C,A,17.39,17.38,17.384998,0,597.65,0.158869,0.158869,0.598285,0.011467,0.819343,-0.176112,0.428331,744,82,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00594000,2025-03-21,594.0,C,A,16.71,16.69,16.7,0,597.65,0.157449,0.157449,0.587271,0.011649,0.824852,-0.175198,0.420906,709,103,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00585000,2025-03-21,585.0,C,A,23.44,22.8,23.119999,0,597.65,0.169195,0.169195,0.678375,0.009973,0.758873,-0.178396,0.48138,604,21837,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00595000,2025-03-21,595.0,C,A,16.03,16.02,16.025002,0,597.65,0.156026,0.156026,0.576009,0.011825,0.829803,-0.174153,0.413281,2016,22038,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00599000,2025-03-21,599.0,C,A,13.43,13.42,13.425,0,597.65,0.150225,0.150225,0.528485,0.01248,0.843159,-0.168505,0.380792,2324,773,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00602000,2025-03-21,602.0,C,A,11.61,11.58,11.594999,0,597.65,0.145834,0.145834,0.490267,0.012886,0.845146,-0.162674,0.354336,823,1543,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00603000,2025-03-21,603.0,C,A,11.03,11.02,11.025,0,597.65,0.144544,0.144544,0.477112,0.012984,0.844032,-0.160577,0.345155,1265,1389,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00604000,2025-03-21,604.0,C,A,10.47,10.44,10.455,0,597.65,0.143097,0.143097,0.463707,0.013082,0.841948,-0.158173,0.335785,6238,3053,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00601000,2025-03-21,601.0,C,A,12.21,12.18,12.195,0,597.65,0.147326,0.147326,0.503248,0.012758,0.845343,-0.1648,0.363349,1495,1322,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00606000,2025-03-21,606.0,C,A,9.39,9.37,9.38,0,597.65,0.140493,0.140493,0.436453,0.013211,0.834747,-0.153149,0.31663,564,3371,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00607000,2025-03-21,607.0,C,A,8.87,8.84,8.855,0,597.65,0.13909,0.13909,0.422517,0.013261,0.829521,-0.150295,0.306803,529,1564,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00608000,2025-03-21,608.0,C,A,8.37,8.35,8.360001,0,597.65,0.137876,0.137876,0.408569,0.013276,0.823235,-0.147463,0.29693,626,1878,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00609000,2025-03-21,609.0,C,A,7.88,7.86,7.87,0,597.65,0.136546,0.136546,0.39441,0.013284,0.815768,-0.144355,0.286892,1010,1506,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00611000,2025-03-21,611.0,C,A,6.96,6.94,6.95,0,597.65,0.134077,0.134077,0.365981,0.013224,0.797424,-0.137861,0.266657,279,1911,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00612000,2025-03-21,612.0,C,A,6.53,6.51,6.5200005,0,597.65,0.132938,0.132938,0.351787,0.013156,0.786567,-0.134485,0.256518,514,2563,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00613000,2025-03-21,613.0,C,A,6.11,6.09,6.1000004,0,597.65,0.131733,0.131733,0.337495,0.013072,0.77447,-0.130898,0.246291,475,1406,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00610000,2025-03-21,610.0,C,A,7.41,7.4,7.4049997,0,597.65,0.135342,0.135342,0.380263,0.013261,0.807203,-0.141216,0.276832,3580,40966,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00616000,2025-03-21,616.0,C,A,4.97,4.95,4.96,0,597.65,0.128499,0.128499,0.29528,0.012662,0.73173,-0.119753,0.215959,467,1159,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00605000,2025-03-21,605.0,C,A,9.92,9.88,9.9,0,597.65,0.141669,0.141669,0.450103,0.013166,0.838851,-0.155622,0.326246,3440,23576,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00614000,2025-03-21,614.0,C,A,5.72,5.69,5.705,0,597.65,0.130656,0.130656,0.323375,0.012957,0.761353,-0.12731,0.236163,511,1276,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00620000,2025-03-21,620.0,C,A,3.7,3.68,3.69,0,597.65,0.124766,0.124766,0.241471,0.011784,0.661233,-0.104075,0.177066,10216,106044,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00623000,2025-03-21,623.0,C,A,2.91,2.89,2.9,0,597.65,0.122162,0.122162,0.203619,0.01092,0.599939,-0.091836,0.149576,494,1106,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00618000,2025-03-21,618.0,C,A,4.3,4.28,4.29,0,597.65,0.126548,0.126548,0.267907,0.012268,0.698198,-0.11199,0.196203,798,979,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00622000,2025-03-21,622.0,C,A,3.16,3.13,3.145,0,597.65,0.122957,0.122957,0.215839,0.011227,0.620849,-0.095869,0.158463,896,1325,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00628000,2025-03-21,628.0,C,A,1.91,1.88,1.895,0,597.65,0.118751,0.118751,0.148375,0.009189,0.490753,-0.072246,0.109269,1314,1826,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00624000,2025-03-21,624.0,C,A,2.68,2.66,2.67,0,597.65,0.121399,0.121399,0.191751,0.010597,0.57856,-0.087816,0.140934,359,1037,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00625000,2025-03-21,625.0,C,A,2.47,2.45,2.46,0,597.65,0.120764,0.120764,0.180459,0.010259,0.557202,-0.083945,0.132701,1898,22187,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00631000,2025-03-21,631.0,C,A,1.46,1.44,1.45,0,597.65,0.117206,0.117206,0.120544,0.008072,0.425483,-0.06145,0.088886,442,997,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00629000,2025-03-21,629.0,C,A,1.74,1.72,1.73,0,597.65,0.118093,0.118093,0.138423,0.008817,0.468281,-0.068419,0.101988,531,1068,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00634000,2025-03-21,634.0,C,A,1.1,1.08,1.09,0,597.65,0.115691,0.115691,0.096172,0.00695,0.361615,-0.051263,0.070999,550,1385,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00619000,2025-03-21,619.0,C,A,3.99,3.97,3.98,0,597.65,0.125615,0.125615,0.254518,0.012037,0.680054,-0.108021,0.186519,646,1046,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00627000,2025-03-21,627.0,C,A,2.08,2.06,2.07,0,597.65,0.119388,0.119388,0.158648,0.009554,0.512997,-0.076082,0.116779,575,1479,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00635000,2025-03-21,635.0,C,A,1.0,0.99,0.995,0,597.65,0.115426,0.115426,0.089275,0.006593,0.342251,-0.048317,0.065928,1843,17592,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00626000,2025-03-21,626.0,C,A,2.27,2.25,2.26,0,597.65,0.120094,0.120094,0.16942,0.009911,0.535328,-0.08003,0.124646,361,1374,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00630000,2025-03-21,630.0,C,A,1.59,1.57,1.58,0,597.65,0.117531,0.117531,0.129048,0.008442,0.44624,-0.064759,0.095122,5246,33858,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00640000,2025-03-21,640.0,C,A,0.62,0.6,0.61,0,597.65,0.113888,0.113888,0.059619,0.004907,0.251325,-0.034712,0.044096,972,54710,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00641000,2025-03-21,641.0,C,A,0.56,0.54,0.55,0,597.65,0.113575,0.113575,0.054676,0.004596,0.234773,-0.032286,0.040452,161,1098,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00639000,2025-03-21,639.0,C,A,0.68,0.66,0.67,0,597.65,0.114004,0.114004,0.064544,0.005215,0.267381,-0.037029,0.047727,28,713,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00380000,2025-03-31,380.0,C,A,221.89,218.63,220.26001,0,597.65,0.615507,0.615507,0.976323,0.00036,0.121378,-0.089473,0.556884,0,9,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00385000,2025-03-31,385.0,C,A,216.94,213.58,215.26001,0,597.65,0.597459,0.597459,0.976215,0.000373,0.121885,-0.088378,0.564451,0,4,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00390000,2025-03-31,390.0,C,A,211.98,208.84,210.41,0,597.65,0.591472,0.591472,0.974178,0.000406,0.131409,-0.093235,0.57002,0,108,2025-02-03
